event_date,country,admin1,location,latitude,longitude,event_type,sub_event_type,fatalities
2024-04-12,Iraq,Duhok,Chiya-e Gara,37.0394,43.5175,Explosions/Remote violence,Air/drone strike,0
2024-04-13,Iraq,Duhok,Gize,36.9963,43.5114,Explosions/Remote violence,Air/drone strike,0
2024-04-13,Iraq,Duhok,Shelaza,37.1538,43.385,Explosions/Remote violence,Air/drone strike,0
2024-04-13,Iraq,Duhok,Sarkay,36.9858,43.5713,Explosions/Remote violence,Air/drone strike,0
2024-04-13,Iraq,Ninewa,Desta Kafya,36.9406,43.7469,Explosions/Remote violence,Air/drone strike,0
2024-04-13,Iraq,Duhok,Chiya-e Gara,37.0394,43.5175,Explosions/Remote violence,Air/drone strike,0
2024-04-14,Iraq,Duhok,Gize,36.9963,43.5114,Explosions/Remote violence,Air/drone strike,0
2024-04-14,Iraq,Duhok,Shelaza,37.1538,43.385,Explosions/Remote violence,Air/drone strike,0
2024-04-14,Iraq,Duhok,Sarkay,36.9858,43.5713,Explosions/Remote violence,Air/drone strike,0
2024-04-14,Iraq,Ninewa,Desta Kafya,36.9406,43.7469,Explosions/Remote violence,Air/drone strike,0
2024-04-14,Iraq,Duhok,Chiya-e Gara,37.0394,43.5175,Explosions/Remote violence,Air/drone strike,0
2024-04-15,Iraq,Duhok,Gize,36.9963,43.5114,Explosions/Remote violence,Air/drone strike,0
2024-04-15,Iraq,Duhok,Shelaza,37.1538,43.385,Explosions/Remote violence,Air/drone strike,0
2024-04-15,Iraq,Duhok,Sarkay,36.9858,43.5713,Explosions/Remote violence,Air/drone strike,0
2024-04-15,Iraq,Ninewa,Desta Kafya,36.9406,43.7469,Explosions/Remote violence,Air/drone strike,0
2024-04-15,Iraq,Duhok,Chiya-e Gara,37.0394,43.5175,Explosions/Remote violence,Air/drone strike,0
2024-04-16,Iraq,Duhok,Shelaza,37.1538,43.385,Explosions/Remote violence,Air/drone strike,0
2024-04-16,Iraq,Duhok,Gize,36.9963,43.5114,Explosions/Remote violence,Air/drone strike,0
2024-04-16,Iraq,Duhok,Sarkay,36.9858,43.5713,Explosions/Remote violence,Air/drone strike,0
2024-04-16,Iraq,Ninewa,Desta Kafya,36.9406,43.7469,Explosions/Remote violence,Air/drone strike,0
2024-04-16,Iraq,Duhok,Chiya-e Gara,37.0394,43.5175,Explosions/Remote violence,Air/drone strike,0
2024-04-17,Iraq,Duhok,Gize,36.9963,43.5114,Explosions/Remote violence,Air/drone strike,0
2024-04-17,Iraq,Duhok,Shelaza,37.1538,43.385,Explosions/Remote violence,Air/drone strike,0
2024-04-17,Iraq,Duhok,Sarkay,36.9858,43.5713,Explosions/Remote violence,Air/drone strike,0
2024-04-17,Iraq,Ninewa,Desta Kafya,36.9406,43.7469,Explosions/Remote violence,Air/drone strike,0
2024-04-17,Iraq,Duhok,Chiya-e Gara,37.0394,43.5175,Explosions/Remote violence,Air/drone strike,0
2024-04-18,Iraq,Duhok,Gize,36.9963,43.5114,Explosions/Remote violence,Air/drone strike,0
2024-04-18,Iraq,Duhok,Shelaza,37.1538,43.385,Explosions/Remote violence,Air/drone strike,0
2024-04-18,Iraq,Duhok,Sarkay,36.9858,43.5713,Explosions/Remote violence,Air/drone strike,0
2024-04-18,Iraq,Ninewa,Desta Kafya,36.9406,43.7469,Explosions/Remote violence,Air/drone strike,0
2024-04-18,Iraq,Duhok,Chiya-e Gara,37.0394,43.5175,Explosions/Remote violence,Air/drone strike,0
2024-04-15,Iraq,Erbil,Galiya Rash,37.0277,44.5183,Explosions/Remote violence,Air/drone strike,0
2024-04-19,Iraq,Al Muthanna,As Samawah,31.3059,45.2799,Strategic developments,Arrests,0
2024-04-13,Iraq,Ninewa,Zammar,36.6573,42.6025,Violence against civilians,Attack,1
2024-04-16,Iraq,Al Basrah,Al-Zubair,30.3921,47.7017,Violence against civilians,Attack,0
2024-04-14,Iraq,Al Anbar,Ramadi,33.4206,43.3078,Strategic developments,Change to group/activity,0
